timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 35DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.575112663228969e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.61407188161335e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.615382222447137e-5,
40th < 2040,EU < DE < de < 31DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.5779670003103317e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.572089559603945e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.5760760284454586e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.569009652115769e-5,
40th < 2040,EU < DE < de < 35DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.575112663228969e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.61407188161335e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < h2Storage < h2StorageTank,none,1,expStIn,1.6153822224471373e-5,
40th < 2040,EU < DE < de < 31DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,9.7232884522648e-5,
40th < 2040,EU < DE < de < 32DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,9.358561755180178e-5,
40th < 2040,EU < DE < de < 33DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,0.00010440290834084158,
40th < 2040,EU < DE < de < 34DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,9.436704060032409e-5,
40th < 2040,EU < DE < de < 35DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,9.745724218323301e-5,
40th < 2040,EU < DE < de < 36DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,3.220159526629079e-5,
40th < 2040,EU < DE < de < 37DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,expConv,3.3183227521117564e-5,
40th < 2040,EU < DE < de < 31DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,9.7232884522648e-5,
40th < 2040,EU < DE < de < 32DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,9.358561755180178e-5,
40th < 2040,EU < DE < de < 33DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,0.00010440290834084158,
40th < 2040,EU < DE < de < 34DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,9.436704060032407e-5,
40th < 2040,EU < DE < de < 35DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,9.745724218323301e-5,
40th < 2040,EU < DE < de < 36DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,3.220159526629079e-5,
40th < 2040,EU < DE < de < 37DE,ccgt < ccgtH2 < ccgtH2BackDh,none,none,capaConv,3.3183227521117564e-5,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,2.8303766180891152e-5,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,3.552028956716269e-5,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,2.5629644546391424,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpAir < heatpumpAirSpace,none,none,expConv,3.1136468090704986e-5,
