timestep_3,region_1,technology_1,parameter,value
d134,BE,wind,avaConv,0.4957314583333333
d135,BE,wind,avaConv,0.3368464583333333
d136,BE,wind,avaConv,0.5386738194444444
d137,BE,wind,avaConv,0.29246847222222216
d138,BE,wind,avaConv,0.2866000694444445
d139,BE,wind,avaConv,0.23502756944444442
d140,BE,wind,avaConv,0.07883291666666668
d141,BE,wind,avaConv,0.008484236111111113
d142,BE,wind,avaConv,0.0
d143,BE,wind,avaConv,0.0
d144,BE,wind,avaConv,0.0
d145,BE,wind,avaConv,0.0
d146,BE,wind,avaConv,0.0
d147,BE,wind,avaConv,0.0
d148,BE,wind,avaConv,0.0
d149,BE,wind,avaConv,0.0
d150,BE,wind,avaConv,0.0
d151,BE,wind,avaConv,0.0
d152,BE,wind,avaConv,0.0
d153,BE,wind,avaConv,0.0
d154,BE,wind,avaConv,0.0
d155,BE,wind,avaConv,0.0
d156,BE,wind,avaConv,0.0
d157,BE,wind,avaConv,0.0
d158,BE,wind,avaConv,0.0
d159,BE,wind,avaConv,0.0
d160,BE,wind,avaConv,0.014440208333333333
d161,BE,wind,avaConv,0.005472847222222223
d162,BE,wind,avaConv,0.015316874999999999
d163,BE,wind,avaConv,0.017535555555555554
d164,BE,wind,avaConv,0.005804375
d165,BE,wind,avaConv,0.0
d166,BE,wind,avaConv,0.0
d167,BE,wind,avaConv,0.0
d168,BE,wind,avaConv,0.0
d169,BE,wind,avaConv,0.0
d170,BE,wind,avaConv,0.005736527777777778
d171,BE,wind,avaConv,0.02932326388888889
d172,BE,wind,avaConv,0.021607916666666668
d173,BE,wind,avaConv,0.00054375
d174,BE,wind,avaConv,0.01117875
d175,BE,wind,avaConv,0.03579333333333333
d176,BE,wind,avaConv,0.007024166666666668
d177,BE,wind,avaConv,0.09385131944444444
d178,BE,wind,avaConv,0.22809715277777776
d179,BE,wind,avaConv,0.037918958333333336
d180,BE,wind,avaConv,0.1428342361111111
d181,BE,wind,avaConv,0.19588694444444443
d182,BE,wind,avaConv,0.013760833333333333
d183,BE,wind,avaConv,0.0
d184,BE,wind,avaConv,0.0020790277777777777
d185,BE,wind,avaConv,0.003092708333333333
d186,BE,wind,avaConv,0.0
d187,BE,wind,avaConv,0.023070416666666666
d188,BE,wind,avaConv,0.13624569444444443
d189,BE,wind,avaConv,0.1564332638888889
d190,BE,wind,avaConv,0.08563305555555555
d191,BE,wind,avaConv,0.16483236111111113
d192,BE,wind,avaConv,0.2385509722222222
d193,BE,wind,avaConv,0.05306798611111111
d194,BE,wind,avaConv,0.35159277777777775
d195,BE,wind,avaConv,0.21981645833333333
d196,BE,wind,avaConv,0.23402409722222223
d197,BE,wind,avaConv,0.39385583333333335
d198,BE,wind,avaConv,0.44731486111111113
d199,BE,wind,avaConv,0.04056513888888889
d200,BE,wind,avaConv,0.10760208333333332
d201,BE,wind,avaConv,0.36450347222222224
d202,BE,wind,avaConv,0.052901805555555556
d203,BE,wind,avaConv,0.11135291666666666
d204,BE,wind,avaConv,0.0019212499999999998
d205,BE,wind,avaConv,0.0
d206,BE,wind,avaConv,0.004875833333333333
d207,BE,wind,avaConv,0.019194791666666666
d208,BE,wind,avaConv,0.0
d209,BE,wind,avaConv,0.0
d210,BE,wind,avaConv,0.03392666666666667
d211,BE,wind,avaConv,0.3100940277777778
d212,BE,wind,avaConv,0.14319555555555555
d213,BE,wind,avaConv,0.067033125
d214,BE,wind,avaConv,0.18037680555555555
d215,BE,wind,avaConv,0.2525381944444445
d216,BE,wind,avaConv,0.23407055555555556
d217,BE,wind,avaConv,0.11738437500000001
d218,BE,wind,avaConv,0.1111129861111111
d219,BE,wind,avaConv,0.2300478472222222
d220,BE,wind,avaConv,0.07879638888888889
d221,BE,wind,avaConv,0.1008529861111111
d222,BE,wind,avaConv,0.00020541666666666668
d223,BE,wind,avaConv,0.007143124999999999
d224,BE,wind,avaConv,0.0038425
d225,BE,wind,avaConv,0.006597499999999999
d226,BE,wind,avaConv,0.06180118055555555
d227,BE,wind,avaConv,0.008613472222222222
d228,BE,wind,avaConv,0.0028020138888888895
d229,BE,wind,avaConv,0.0
d230,BE,wind,avaConv,0.0
d231,BE,wind,avaConv,0.00043499999999999995
d232,BE,wind,avaConv,0.0
d233,BE,wind,avaConv,0.0
d234,BE,wind,avaConv,0.0
d235,BE,wind,avaConv,0.0
d236,BE,wind,avaConv,0.0
d237,BE,wind,avaConv,0.0
d238,BE,wind,avaConv,0.0
d239,BE,wind,avaConv,0.0008216666666666665
d240,BE,wind,avaConv,0.1400226388888889
d241,BE,wind,avaConv,0.025165902777777777
d242,BE,wind,avaConv,0.18357791666666667
d243,BE,wind,avaConv,0.3374802083333333
d244,BE,wind,avaConv,0.08400777777777776
d245,BE,wind,avaConv,0.0
d246,BE,wind,avaConv,0.00033833333333333334
d247,BE,wind,avaConv,0.037396388888888896
d248,BE,wind,avaConv,0.0014258333333333332
d249,BE,wind,avaConv,0.02406243055555556
d250,BE,wind,avaConv,0.007781527777777779
d251,BE,wind,avaConv,0.04926590277777777
d252,BE,wind,avaConv,0.16425541666666665
d253,BE,wind,avaConv,0.08417243055555555
d254,BE,wind,avaConv,0.14187097222222222
d255,BE,wind,avaConv,0.44275986111111104
d256,BE,wind,avaConv,0.0761879861111111
d257,BE,wind,avaConv,0.11322131944444444
d258,BE,wind,avaConv,0.12229777777777777
d259,BE,wind,avaConv,0.22339895833333334
d260,BE,wind,avaConv,0.10070986111111112
d261,BE,wind,avaConv,0.014660069444444444
d262,BE,wind,avaConv,0.0
d263,BE,wind,avaConv,0.0
d264,BE,wind,avaConv,0.00722
d265,BE,wind,avaConv,0.25561229166666666
d266,BE,wind,avaConv,0.5364030555555556
d267,BE,wind,avaConv,0.34740347222222223
d268,BE,wind,avaConv,0.47777715277777777
d269,BE,wind,avaConv,0.05676138888888889
d270,BE,wind,avaConv,0.006674375
d271,BE,wind,avaConv,0.0
d272,BE,wind,avaConv,0.00061625
d273,BE,wind,avaConv,0.0
d274,BE,wind,avaConv,0.0
d275,BE,wind,avaConv,0.0
d276,BE,wind,avaConv,0.0
