timestep_2,carrier_1,region_4,parameter,value,comment,source
2040,spaceHeat,63BA,capaDem,2.735,,
2040,spaceHeat,64ME,capaDem,0.506,,
2040,spaceHeat,65RS,capaDem,5.038,,
2040,spaceHeat,66BG,capaDem,6.615,,
2040,spaceHeat,67MK,capaDem,1.835,,
2040,spaceHeat,68GR,capaDem,3.923,,
2040,spaceHeat,69GR,capaDem,5.642,,
2040,spaceHeat,70AL,capaDem,2.34,,
2040,spaceHeat,72DK,capaDem,6.517,,
2040,spaceHeat,73EE,capaDem,2.575,,
2040,spaceHeat,74FI,capaDem,2.053,,
2040,spaceHeat,75FI,capaDem,12.672,,
2040,spaceHeat,77LT,capaDem,3.88,,
2040,spaceHeat,78LV,capaDem,3.678,,
2040,spaceHeat,79NO,capaDem,0.963,,
2040,spaceHeat,80NO,capaDem,2.236,,
2040,spaceHeat,81NO,capaDem,3.476,,
2040,spaceHeat,82NO,capaDem,5.951,,
2040,spaceHeat,83NO,capaDem,1.846,,
2040,spaceHeat,84NO,capaDem,1.761,,
2040,spaceHeat,85NO,capaDem,0.246,,
2040,spaceHeat,86SE,capaDem,1.065,,
2040,spaceHeat,87SE,capaDem,3.366,,
2040,spaceHeat,88SE,capaDem,22.644,,
2040,spaceHeat,89SE,capaDem,6.109,,
2040,spaceHeat,90UK,capaDem,39.037,,
2040,spaceHeat,91UK,capaDem,8.727,,
2040,spaceHeat,92UK,capaDem,40.113,,
2040,spaceHeat,93UK,capaDem,11.277,,
2040,spaceHeat,94UK,capaDem,6.558,,
2040,spaceHeat,95UK,capaDem,3.355,,
2040,spaceHeat,96IE,capaDem,6.177,,
2040,spaceHeat,98IT,capaDem,3.035,,
2040,spaceHeat,99FR,capaDem,0.521,,
2045,spaceHeat,01ES,capaDem,2.24,,
2045,spaceHeat,02ES,capaDem,2.271,,
2045,spaceHeat,03ES,capaDem,1.514,,
2045,spaceHeat,04ES,capaDem,2.484,,
2045,spaceHeat,05ES,capaDem,1.063,,
2045,spaceHeat,06ES,capaDem,5.585,,
2045,spaceHeat,07ES,capaDem,5.267,,
2045,spaceHeat,08ES,capaDem,1.898,,
2045,spaceHeat,09ES,capaDem,3.371,,
2045,spaceHeat,10ES,capaDem,2.063,,
2045,spaceHeat,11ES,capaDem,5.462,,
2045,spaceHeat,12PT,capaDem,2.686,,
2045,spaceHeat,13PT,capaDem,2.17,,
2045,spaceHeat,14FR,capaDem,9.142,,
2045,spaceHeat,15FR,capaDem,5.369,,
2045,spaceHeat,16FR,capaDem,8.777,,
2045,spaceHeat,17FR,capaDem,8.005,,
2045,spaceHeat,18FR,capaDem,6.835,,
2045,spaceHeat,19FR,capaDem,6.47,,
2045,spaceHeat,20FR,capaDem,6.475,,
2045,spaceHeat,21FR,capaDem,8.815,,
2045,spaceHeat,22FR,capaDem,3.806,,
2045,spaceHeat,23FR,capaDem,21.487,,
2045,spaceHeat,24FR,capaDem,3.736,,
2045,spaceHeat,25FR,capaDem,10.311,,
2045,spaceHeat,26FR,capaDem,13.999,,
2045,spaceHeat,27FR,capaDem,1.671,,
2045,spaceHeat,28BE,capaDem,28.599,,
2045,spaceHeat,29LU,capaDem,1.598,,
2045,spaceHeat,30NL,capaDem,30.22,,
2045,spaceHeat,31DE,capaDem,28.895,,
2045,spaceHeat,32DE,capaDem,17.904,,
2045,spaceHeat,33DE,capaDem,37.781,,
2045,spaceHeat,34DE,capaDem,18.034,,
2045,spaceHeat,35DE,capaDem,24.659,,
2045,spaceHeat,36DE,capaDem,24.426,,
2045,spaceHeat,37DE,capaDem,29.155,,
2045,spaceHeat,38DK,capaDem,7.306,,
2045,spaceHeat,39CZ,capaDem,8.504,,
2045,spaceHeat,40CZ,capaDem,6.666,,
2045,spaceHeat,41PL,capaDem,9.924,,
2045,spaceHeat,42PL,capaDem,7.126,,
2045,spaceHeat,43PL,capaDem,9.651,,
2045,spaceHeat,44PL,capaDem,8.789,,
2045,spaceHeat,45PL,capaDem,6.684,,
2045,spaceHeat,46SK,capaDem,5.951,,
2045,spaceHeat,47CH,capaDem,13.823,,
2045,spaceHeat,48CH,capaDem,1.716,,
2045,spaceHeat,49AT,capaDem,3.786,,
2045,spaceHeat,50AT,capaDem,5.297,,
2045,spaceHeat,51AT,capaDem,7.002,,
2045,spaceHeat,52IT,capaDem,59.941,,
2045,spaceHeat,53IT,capaDem,11.342,,
2045,spaceHeat,54IT,capaDem,21.84,,
2045,spaceHeat,55IT,capaDem,11.555,,
2045,spaceHeat,56IT,capaDem,7.102,,
2045,spaceHeat,57SI,capaDem,2.787,,
2045,spaceHeat,58HU,capaDem,16.531,,
2045,spaceHeat,59RO,capaDem,3.497,,
2045,spaceHeat,60RO,capaDem,4.93,,
2045,spaceHeat,61RO,capaDem,3.998,,
2045,spaceHeat,62HR,capaDem,5.045,,
2045,spaceHeat,63BA,capaDem,2.429,,
2045,spaceHeat,64ME,capaDem,0.449,,
2045,spaceHeat,65RS,capaDem,4.473,,
2045,spaceHeat,66BG,capaDem,5.874,,
